FuncType;InfNum;Name;Prio
132;26;ST_AZ: Triggern;1
130;25;DIST : Anregung U< L3;1
130;26;DIST : Anregung Z< L1;1
130;27;DIST : Anregung Z< L2;1
130;28;DIST : Anregung Z< L3;1
130;24;DIST : Anregung U< L2;1
128;64;GRUND: Anregung L1;1
128;65;GRUND: Anregung L2;1
128;66;GRUND: Anregung L3;1
128;67;GRUND: Anregung N;1
133;8;DIST : Anregung Z<;1
133;7;DIST : Generalanregung;1
128;74;DIST : Fehler vorwärts / LS;1
128;75;DIST : Fehler rückwärts/ SS;1
128;78;DIST : t1 abgelaufen;1
128;79;DIST : t2 abgelaufen;1
128;80;DIST : t3 abgelaufen;1
128;81;DIST : t4 abgelaufen;1
128;82;DIST : t5 abgelaufen;1
128;83;DIST : t6 abgelaufen;1
132;59;GRUND: Gen. Aus Kommando;1
133;167;U<>  : tU<3 3p abgelaufen;1
131;177;GRUND: Gen. Aus Meldung 2;1
130;209;DIST : Erdanregung;1
128;68;GRUND: Gen. Aus Kommando 1;1
130;190;GRUND: Gen. Aus Meldung 1;1
133;30;U<>  : tUref>1 abgelaufen;1
133;31;U<>  : tUref>2 abgelaufen;1
133;32;U<>  : Anregung Uref>1;1
133;33;U<>  : Anregung Uref>2;1
133;34;U<>  : tUref<1 abgelaufen;1
133;35;U<>  : tUref<2 abgelaufen;1
133;36;U<>  : Anregung Uref<1;1
133;37;U<>  : Anregung Uref<2;1
133;38;U<>  : tUref<1 abgel. Wisch;1
133;39;U<>  : tUref<2 abgel. Wisch;1
133;40;U<>  : Störfall Uref<1;1
133;41;U<>  : Störfall Uref<2;1
133;42;U<>  : tUref<x abgel. Wisch;1
133;147;GRUND: Man. Aus Meldung L1;1
133;148;GRUND: Man. Aus Meldung L2;1
133;149;GRUND: Man. Aus Meldung L3;1
132;145;KURI : Fehler E vorwärts;1
132;146;KURI : Fehler E rückwärts;1
133;163;GRUND: Stromfluß L1;1
133;153;GRUND: Man. def. Aus L1 EXT;1
133;154;GRUND: Man. def. Aus L2 EXT;1
133;155;GRUND: Man. def. Aus L3 EXT;1
133;111;ZUKS : Trigger EXT;1
133;185;U<>  : Blockieren tU>3 EXT;1
133;186;U<>  : Blockieren tU<3 EXT;1
133;187;U<>  : Block. tUref>3 EXT;1
133;188;U<>  : Block. tUref<3 EXT;1
132;40;f<>  : Blockieren f1 EXT;1
132;41;f<>  : Blockieren f2 EXT;1
132;42;f<>  : Blockieren f3 EXT;1
132;43;f<>  : Blockieren f4 EXT;1
132;0;P<>  : Blockieren tP> EXT;1
132;1;P<>  : Blockieren tP>> EXT;1
132;193;LSV  : Start L1 EXT;1
132;194;LSV  : Start L2 EXT;1
132;169;LSV  : Start L3 EXT;1
133;27;U<>  : Block. tUref>2 EXT;1
133;28;U<>  : Block. tUref<1 EXT;1
132;216;GRUND: LS Aus 3p EXT;1
132;252;GRUND: Rückst.S.h.Aus K.EXT;1
133;21;GRUND: Autom.fall UNE EXT;1
133;71;GRUND: LS Ein L1 EXT;1
133;72;GRUND: LS Ein L2 EXT;1
248;118;GRUND: LS1 gestört EXT;1
248;119;GRUND: LS2 gestört EXT;1
133;239;DIST : Freig.MBE b. 1pE EXT;1
133;235;GRUND: Par. Aus (1p) EXT;1
134;76;f<>  : Blockieren f5 EXT;1
132;211;LSV  : ext./bed. eingesch.;1
135;19;NOT  : Blockieren I> EXT;1
135;20;NOT  : Blockieren IE> EXT;1
130;0;MKÜ  : Blocking FF.Uref EXT;1
135;228;DIST : Blockieren Z7 EXT;1
135;227;DIST : Blockieren Z8 EXT;1
136;240;U<>  : Block. tUNE>3 EXT;1
136;42;NOT  : Blockieren I>> EXT;1
136;43;NOT  : Blockieren I>>> EXT;1
136;44;NOT  : Blockieren IE>> EXT;1
136;45;NOT  : Blockieren IE>>> EXT;1
135;59;U<>  : Blockieren tU>4 EXT;1
135;60;U<>  : Blockieren tU<4 EXT;1
136;46;f<>  : Blockieren f6 EXT;1
136;52;f<>  : Blockieren f7 EXT;1
135;254;DIST : Blockieren U< EXT;1
133;90;GRUND: Ein n. man. Ein-Anf.;1
133;78;GRUND: LS Ein L1;1
133;79;GRUND: LS Ein L2;1
133;82;GRUND: LS Ein L3;1
133;3;GRUND: LS St.mldg. unplaus.;1
133;4;GRUND: LS Ein 3p;1
133;16;GRUND: Aus Meldung 1. 1p;1
131;183;GRUND: Man. Ein Kommando;1
132;239;GRUND: Senden Aus Mitn. L1;1
132;240;GRUND: Senden Aus Mitn. L2;1
132;241;GRUND: Senden Aus Mitn. L3;1
133;91;ST_AZ: I> angesprochen;1
131;43;ST_AZ: Netzstörung läuft;1
133;15;MKÜ  : Meßkr. Uref gestört;1
133;20;MKÜ  : Meßkr. UNE gestört;1
