LECROYMAUI,0,Waveform
Segments,1,SegmentSize,250002
Segment,TrigTime,TimeSinceSegment1
#1,14-May-2025 13:04:15,0                 
Time,Ampl
4.14296776e-05,-0.0046
4.14376776e-05,-0.0036
4.14456776e-05,-0.0042
4.14536776e-05,-0.0036
4.14616776e-05,-0.0026
4.14696776e-05,-0.0044
4.14776776e-05,-0.0032
4.14856776e-05,-0.005
4.14936776e-05,-0.003
4.15016776e-05,-0.0038
4.15096776e-05,-0.0026
4.15176776e-05,-0.003
4.15256776e-05,-0.0034
4.15336776e-05,-0.004
4.15416776e-05,-0.0042
4.15496776e-05,-0.0028
4.15576776e-05,-0.0038
4.15656776e-05,-0.0032
4.15736776e-05,-0.004
4.15816776e-05,-0.0042
4.15896776e-05,-0.0028
4.15976776e-05,-0.0044
4.16056776e-05,-0.0058
4.16136776e-05,-0.004
4.16216776e-05,-0.0036
4.16296776e-05,-0.0038
4.16376776e-05,-0.0042
4.16456776e-05,-0.0042
4.16536776e-05,-0.003
4.16616776e-05,-0.003
4.16696776e-05,-0.0042
4.16776776e-05,-0.0026
4.16856776e-05,-0.0032
4.16936776e-05,-0.0036
4.17016776e-05,-0.0024
4.17096776e-05,-0.0034
4.17176776e-05,-0.0032
4.17256776e-05,-0.0024
4.17336776e-05,-0.0036
4.17416776e-05,-0.0038
4.17496776e-05,-0.0036
4.17576776e-05,-0.0038
4.17656776e-05,-0.0024
4.17736776e-05,-0.0026
4.17816776e-05,-0.0034
4.17896776e-05,-0.0036
4.17976776e-05,-0.003
4.18056776e-05,-0.0034
4.18136776e-05,-0.0042
4.18216776e-05,-0.0036
4.18296776e-05,-0.0038
4.18376776e-05,-0.0034
4.18456776e-05,-0.0032
4.18536776e-05,-0.0048
4.18616776e-05,-0.0032
4.18696776e-05,-0.0042
4.18776776e-05,-0.0026
4.18856776e-05,-0.0044
4.18936776e-05,-0.0034
4.19016776e-05,-0.003
4.19096776e-05,-0.004
4.19176776e-05,-0.0044
4.19256776e-05,-0.0032
4.19336776e-05,-0.0026
4.19416776e-05,-0.0026
4.19496776e-05,-0.003
4.19576776e-05,-0.0038
4.19656776e-05,-0.0036
4.19736776e-05,-0.0042
4.19816776e-05,-0.0042
4.19896776e-05,-0.0026
4.19976776e-05,-0.0032
4.20056776e-05,-0.0038
4.20136776e-05,-0.0044
4.20216776e-05,-0.0036
4.20296776e-05,-0.0036
4.20376776e-05,-0.0052
4.20456776e-05,-0.0036
4.20536776e-05,-0.0024
4.20616776e-05,-0.002
4.20696776e-05,-0.0038
4.20776776e-05,-0.0032
4.20856776e-05,-0.0036
4.20936776e-05,-0.004
4.21016776e-05,-0.0046
4.21096776e-05,-0.003
4.21176776e-05,-0.0042
4.21256776e-05,-0.003
4.21336776e-05,-0.0038
4.21416776e-05,-0.004
4.21496776e-05,-0.004
4.21576776e-05,-0.0032
4.21656776e-05,-0.0042
4.21736776e-05,-0.0026
4.21816776e-05,-0.002
4.21896776e-05,-0.0034
4.21976776e-05,-0.0048
4.22056776e-05,-0.0044
4.22136776e-05,-0.0048
4.22216776e-05,-0.0036
4.22296776e-05,-0.004
4.22376776e-05,-0.0028
4.22456776e-05,-0.006
4.22536776e-05,-0.0036
4.22616776e-05,-0.0032
4.22696776e-05,-0.0034
4.22776776e-05,-0.0028
4.22856776e-05,-0.0036
4.22936776e-05,-0.004
4.23016776e-05,-0.0026
4.23096776e-05,-0.002
4.23176776e-05,-0.0038
4.23256776e-05,-0.0032
4.23336776e-05,-0.0044
4.23416776e-05,-0.0024
4.23496776e-05,-0.0028
4.23576776e-05,-0.0028
4.23656776e-05,-0.0036
4.23736776e-05,-0.0038
4.23816776e-05,-0.0034
4.23896776e-05,-0.003
4.23976776e-05,-0.0022
4.24056776e-05,-0.0046
4.24136776e-05,-0.0034
4.24216776e-05,-0.0036
4.24296776e-05,-0.0044
4.24376776e-05,-0.003
4.24456776e-05,-0.0022
4.24536776e-05,-0.003
4.24616776e-05,-0.0048
4.24696776e-05,-0.0042
4.24776776e-05,-0.0048
4.24856776e-05,-0.0036
4.24936776e-05,-0.003
4.25016776e-05,-0.0036
4.25096776e-05,-0.0042
4.25176776e-05,-0.004
4.25256776e-05,-0.0036
4.25336776e-05,-0.0036
4.25416776e-05,-0.0044
4.25496776e-05,-0.004
4.25576776e-05,-0.0044
4.25656776e-05,-0.003
4.25736776e-05,-0.0044
4.25816776e-05,-0.0032
4.25896776e-05,-0.0052
4.25976776e-05,-0.0028
4.26056776e-05,-0.0044
4.26136776e-05,-0.0044
4.26216776e-05,-0.0034
4.26296776e-05,-0.0036
4.26376776e-05,-0.005
4.26456776e-05,-0.0038
4.26536776e-05,-0.0048
4.26616776e-05,-0.0052
4.26696776e-05,-0.0038
4.26776776e-05,-0.0044
4.26856776e-05,-0.0046
4.26936776e-05,-0.0026
4.27016776e-05,-0.0046
4.27096776e-05,-0.004
4.27176776e-05,-0.0042
4.27256776e-05,-0.0038
4.27336776e-05,-0.0046
4.27416776e-05,-0.004
4.27496776e-05,-0.004
4.27576776e-05,-0.0046
4.27656776e-05,-0.0042
4.27736776e-05,-0.0028
4.27816776e-05,-0.004
4.27896776e-05,-0.0022
4.27976776e-05,-0.006
4.28056776e-05,-0.0048
4.28136776e-05,-0.0026
4.28216776e-05,-0.0028
4.28296776e-05,-0.0042
4.28376776e-05,-0.003
4.28456776e-05,-0.0048
4.28536776e-05,-0.0036
4.28616776e-05,-0.0044
4.28696776e-05,-0.003
4.28776776e-05,-0.0034
4.28856776e-05,-0.0034
